GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookingmx-backend,com.bookingmx.reservations.repo,ReservationRepository,0,52,0,2,0,10,0,6,0,5
bookingmx-backend,com.bookingmx.reservations.controller,ReservationController,0,53,0,0,0,11,0,6,0,6
bookingmx-backend,com.bookingmx.reservations.dto,ReservationRequest,16,27,0,0,4,10,4,5,4,5
bookingmx-backend,com.bookingmx.reservations.dto,ReservationResponse,0,39,0,0,0,10,0,7,0,7
bookingmx-backend,com.bookingmx.reservations.model,ReservationStatus,0,15,0,0,0,2,0,1,0,1
bookingmx-backend,com.bookingmx.reservations.model,Reservation,0,108,0,6,0,28,0,20,0,17
bookingmx-backend,com.bookingmx.reservations.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
bookingmx-backend,com.bookingmx.reservations.exception,ApiExceptionHandler,0,39,0,0,0,5,0,5,0,5
bookingmx-backend,com.bookingmx.reservations.exception,BadRequestException,0,4,0,0,0,1,0,1,0,1
bookingmx-backend,com.bookingmx.reservations.service,ReservationService,5,135,2,10,0,23,2,12,0,8
bookingmx-backend,com.bookingmx.reservations,BookingMxApplication,5,3,0,0,2,1,1,1,1,1
